City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Naze,JP,63.52,overcast clouds,28.3667,129.4833,ビジネス旅館畠山
132,Barabai,ID,88.03,scattered clouds,-2.5833,115.3833,Hotel Bouraq
133,Laguna,US,49.08,clear sky,38.421,-121.4238,Holiday Inn Express & Suites
137,Touros,BR,77.25,broken clouds,-5.1989,-35.4608,Pousada Atlântico
138,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Pearl Resort
140,Cape Town,ZA,65.26,broken clouds,-33.9258,18.4232,Townhouse Hotel
141,Sitka,US,24.69,clear sky,57.0531,-135.33,Aspen Suites Hotel
142,Pisco,PE,66.25,clear sky,-13.7,-76.2167,La Portada
143,Axim,GH,77.0,broken clouds,4.8699,-2.2405,Axim Beach Hotel
145,Sao Joao Da Barra,BR,73.24,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
147,Christchurch,NZ,66.4,few clouds,-43.5333,172.6333,Ibis Hotel Christchurch
150,Namibe,AO,68.94,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
151,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
152,Vao,NC,79.27,light rain,-22.6667,167.4833,Nataiwatch
154,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
156,Roma,US,35.82,clear sky,43.2128,-75.4557,Wingate by Wyndham Rome
157,Mount Gambier,AU,61.43,overcast clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
158,Rawson,AR,54.37,broken clouds,-43.3002,-65.1023,Hotel Deportivo
160,Myitkyina,MM,77.4,clear sky,25.3833,97.4,New Light Hotel
161,Wageningen,NL,45.05,mist,51.9667,5.6667,Hotel De Wereld
164,Paamiut,GL,26.89,overcast clouds,61.994,-49.6678,Hotel Ivaana
165,Mandera,KE,76.41,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
166,Havoysund,NO,37.63,overcast clouds,70.9963,24.6622,Havøysund Hotell
